coefficient,fixed_391_input_weighted_estimate_pp,population,estimate_role,inference_status,legacy_input_cluster_inference_status,invalid_legacy_fields,design_based_p_value,design_based_confidence_interval
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-0.3575886547560848,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-0.1571203660031972,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],0.6622243709854763,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],0.6190308469352083,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],0.6068547099397673,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-1.2720048252631821,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-1.0844603162305315,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-1.2923508771300722,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],-0.7415344332847399,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],-0.26082593035599594,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],-0.47293670486082756,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
