experiment,metric,rule,n_rows_flagged,pct_of_experiment,classification,rationale,example_values,example_ids
E20,fidelity,fidelity_fp_epsilon,76,7.103,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","qaoa_line_4, qaoa_line_4, vqe_twolocal_4, vqe_twolocal_4, vqe_twolocal_4, adder_4, qaoa_line_6, qaoa_line_6, qaoa_line_8, qaoa_line_4, adder_4, clifford_4, uccsd_4, uccsd_4, qaoa_line_6, qaoa_line_8, hardware_eff_8, qaoa_line_4, qaoa_line_4, adder_4, qaoa_line_6, qaoa_line_6, qaoa_line_6, hardware_eff_6, hardware_eff_6"
E20,fidelity,zscore_abs_gt_4,8,0.748,benign,"in-range statistical tail value (distributional, not a validity issue)","0.261538, 0.294118, 0.261538, 0.0769231, 0.261538","clifford_6, clifford_4, clifford_6, clifford_6, clifford_6, clifford_6, clifford_6, clifford_4"
E20,fidelity,iqr_1.5x,98,9.159,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1","grover_4, qwalk_4, qwalk_4, grover_6, grover_6, qwalk_6, clifford_6, grover_8, grover_4, qwalk_4, qwalk_4, clifford_4, grover_6, grover_6, qwalk_6, grover_8, grover_4, qwalk_4, qwalk_4, grover_6, grover_6, qwalk_6, clifford_6, grover_8, clifford_8"
E20,runtime_seconds,zscore_abs_gt_4,11,1.028,benign,heavy-tailed runtime distribution (not a validity issue),"10.2304, 9.65134, 9.93152, 9.24036, 11.3631","qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4, grover_6, qwalk_4, qwalk_4, qwalk_4, qwalk_4, qwalk_4"
E20,runtime_seconds,iqr_1.5x,178,16.636,benign,heavy-tailed runtime distribution (not a validity issue),"0.739822, 0.295301, 0.40152, 10.2304, 0.395998","grover_4, adder_4, qwalk_4, qwalk_4, uccsd_4, qft_6, qaoa_line_6, vqe_twolocal_6, hardware_eff_6, grover_6, grover_6, qwalk_6, uccsd_6, grover_8, haar_4, haar_4, grover_4, adder_4, qwalk_4, qwalk_4, uccsd_4, qft_6, qaoa_line_6, vqe_twolocal_6, hardware_eff_6"
E22,success,constant_status_column,2240,100.0,needs-attention,'success' is uniformly True across all rows; column carries no information and cannot corroborate failure flags,True,
E22,reduction,zscore_abs_gt_4,69,3.08,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 0.85",
E22,reduction,iqr_1.5x,226,10.089,benign,"in-range statistical tail value (distributional, not a validity issue)","0.329412, 0.305882, 0.141176, 0.211765, 0.188235",
E22,fidelity,fidelity_fp_epsilon,249,11.116,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E22,fidelity,iqr_1.5x,281,12.545,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1",
E22,runtime_seconds,zscore_abs_gt_4,48,2.143,benign,heavy-tailed runtime distribution (not a validity issue),"3.79511, 3.78885, 3.79522, 3.76592, 3.98822",
E22,runtime_seconds,iqr_1.5x,326,14.554,benign,heavy-tailed runtime distribution (not a validity issue),"0.130273, 0.110287, 0.107976, 0.108022, 0.114075",
E24,runtime_seconds,zscore_abs_gt_4,1,1.333,benign,heavy-tailed runtime distribution (not a validity issue),0.163724,
E24,runtime_seconds,iqr_1.5x,2,2.667,benign,heavy-tailed runtime distribution (not a validity issue),"0.0824978, 0.163724",
E27,success,constant_status_column,960,100.0,needs-attention,'success' is uniformly True across all rows; column carries no information and cannot corroborate failure flags,True,
E27,reduction,iqr_1.5x,175,18.229,benign,"in-range statistical tail value (distributional, not a validity issue)","0.116667, 0.1, 0.133333, 0.1375, 0.184615",
E27,fidelity,fidelity_fp_epsilon,96,10.0,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E27,fidelity,zscore_abs_gt_4,20,2.083,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1",
E27,fidelity,iqr_1.5x,105,10.938,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1",
E27,runtime_seconds,zscore_abs_gt_4,20,2.083,benign,heavy-tailed runtime distribution (not a validity issue),"149.749, 144.875, 143.708, 139.804, 159.227",
E27,runtime_seconds,iqr_1.5x,123,12.812,benign,heavy-tailed runtime distribution (not a validity issue),"0.463058, 0.526567, 0.54197, 0.512925, 0.435746",
E29,success,constant_status_column,800,100.0,needs-attention,'success' is uniformly True across all rows; column carries no information and cannot corroborate failure flags,True,
E29,reduction,reduction_negative,598,74.75,explainable,baseline metaheuristic inflation (RLS/SA/GA increase gate count at fidelity 1.0; E29 is the multi-seed robustness check for E04),"-1.6, -0.4, -0.0533333, -1.78667, -0.106667",
E29,reduction,iqr_1.5x,7,0.875,explainable,baseline metaheuristic inflation (RLS/SA/GA increase gate count at fidelity 1.0; E29 is the multi-seed robustness check for E04),"-1.97333, -2, -2.08, -2.10667, -2",
E29,fidelity,zscore_abs_gt_4,1,0.125,benign,"in-range statistical tail value (distributional, not a validity issue)",0.991438,
E29,fidelity,iqr_1.5x,7,0.875,benign,"in-range statistical tail value (distributional, not a validity issue)","1, 1, 1, 1, 1",
